Nozzle, Nozzle type (SUPER_SHORT|BLOCKED|OFFSET|INSTALLED|COVERED), Orifice diameter
D133, INSTALLED,1
D134, INSTALLED,1
D135, SUPER_SHORT,0
D136, SUPER_SHORT,0
D137, OFFSET,1
D138, INSTALLED,1
D139, INSTALLED,1
D140, INSTALLED,1
D141, SUPER_SHORT,0
D142, SUPER_SHORT,0
D143, OFFSET,1
D144, INSTALLED,1
D145, INSTALLED,1
D146, INSTALLED,1
D147, OFFSET,1
D148, INSTALLED,1
D149, INSTALLED,1
D150, INSTALLED,1
D151, INSTALLED,1
D152, INSTALLED,1
D153, INSTALLED,1
D154, INSTALLED,1
D155, INSTALLED,1
D156, INSTALLED,1
D157, INSTALLED,1
D158, INSTALLED,1
D159, INSTALLED,1
D160, INSTALLED,1
D161, INSTALLED,1
D162, INSTALLED,1
D163, INSTALLED,1
D164, SUPER_SHORT,0
D165, SUPER_SHORT,0
D166, OFFSET,1
D167, INSTALLED,1
D168, INSTALLED,1
D169, INSTALLED,1
D170, SUPER_SHORT,0
D171, SUPER_SHORT,0
D172, INSTALLED,1
D173, INSTALLED,1
D174, INSTALLED,1
D175, OFFSET,1
D176, OFFSET,1
D177, OFFSET,1
D178, OFFSET,1
D179, INSTALLED,1
D180, INSTALLED,1
D181, INSTALLED,1
D182, INSTALLED,1
D183, INSTALLED,1
D184, INSTALLED,1
D185, OFFSET,1
D186, OFFSET,1
D187, SUPER_SHORT,0
D188, INSTALLED,1
D189, INSTALLED,1
D190, INSTALLED,1
D191, INSTALLED,1
D192, OFFSET,1
D193, INSTALLED,1
D194, INSTALLED,1
D195, SUPER_SHORT,0
D196, SUPER_SHORT,0
D197, OFFSET,1
D198, INSTALLED,1
D199, INSTALLED,1
D200, INSTALLED,1
D201, SUPER_SHORT,0
D202, SUPER_SHORT,0
D203, SUPER_SHORT,0
D204, INSTALLED,1
D205, INSTALLED,1
D206, INSTALLED,1
D207, INSTALLED,1
D208, INSTALLED,1
D209, INSTALLED,1
D210, INSTALLED,1
D211, INSTALLED,1
D212, INSTALLED,1
D213, INSTALLED,1
D214, INSTALLED,1
D215, INSTALLED,1
D216, OFFSET,1
D217, OFFSET,1
D218, OFFSET,1
D219, INSTALLED,1
D220, INSTALLED,1
D221, INSTALLED,1
D222, SUPER_SHORT,0
D223, SUPER_SHORT,0
D224, OFFSET,1
D225, INSTALLED,1
D226, INSTALLED,1
D227, INSTALLED,1
D228, OFFSET,1
D229, INSTALLED,1
D230, INSTALLED,1
D231, INSTALLED,1
D232, INSTALLED,1
D233, INSTALLED,1
D234, INSTALLED,1
D235, INSTALLED,1
D236, INSTALLED,1
D237, INSTALLED,1
D238, INSTALLED,1
D239, SUPER_SHORT,0
D240, SUPER_SHORT,0
D241, OFFSET,1
D242, INSTALLED,1
D243, INSTALLED,1
D244, INSTALLED,1
D245, SUPER_SHORT,0
D246, INSTALLED,1
D247, INSTALLED,1
D248, INSTALLED,1
D249, INSTALLED,1
D250, INSTALLED,1
D251, INSTALLED,1
D252, INSTALLED,1
D253, INSTALLED,1
D254, SUPER_SHORT,0
D255, INSTALLED,1
D256, INSTALLED,1
D257, INSTALLED,1
D258, SUPER_SHORT,0
D259, SUPER_SHORT,0
D260, OFFSET,1
D261, OFFSET,1
D262, INSTALLED,1
D263, INSTALLED,1
D264, INSTALLED,1
D265, INSTALLED,1
D266, INSTALLED,1
D267, INSTALLED,1
D268, OFFSET,1
D269, OFFSET,1
D270, INSTALLED,1
D271, INSTALLED,1
D272, INSTALLED,1
D273, OFFSET,1
D274, OFFSET,1
D275, OFFSET,1
E1, INSTALLED,0.5
E2, INSTALLED,0.5
E3, INSTALLED,0.5
E4, INSTALLED,0.5
E5, SUPER_SHORT,0
E6, INSTALLED,1
E7, INSTALLED,1
E8, INSTALLED,1
E9, INSTALLED,1
E10, INSTALLED,1
E11, SUPER_SHORT,0
E12, INSTALLED,1
E13, INSTALLED,1
E14, INSTALLED,1
E15, INSTALLED,1
E16, INSTALLED,1
E17, SUPER_SHORT,0
E18, INSTALLED,1
E19, INSTALLED,1
E20, INSTALLED,0.5
E21, INSTALLED,0.5
E22, INSTALLED,0.5
E23, SUPER_SHORT,0
E24, INSTALLED,0.5
E25, INSTALLED,1
E26, INSTALLED,1
E27, OFFSET,1
E28, INSTALLED,1
E29, SUPER_SHORT,0
E30, INSTALLED,1
